images,image_urls
"[{'url': 'https://img.pokemondb.net/artwork/weedle.jpg', 'path': 'weedle.jpg', 'checksum': '3235d77245840ce551f02f1f7c393a2f'}]",https://img.pokemondb.net/artwork/weedle.jpg
"[{'url': 'https://img.pokemondb.net/artwork/pidgeot-mega.jpg', 'path': 'pidgeot-mega.jpg', 'checksum': '7a9d00cf869710d87c2c3a6fb4da1d59'}]",https://img.pokemondb.net/artwork/pidgeot-mega.jpg
"[{'url': 'https://img.pokemondb.net/artwork/beedrill.jpg', 'path': 'beedrill.jpg', 'checksum': '5482f263fa28f8f5b271d483546280d1'}]",https://img.pokemondb.net/artwork/beedrill.jpg
"[{'url': 'https://img.pokemondb.net/artwork/pidgey.jpg', 'path': 'pidgey.jpg', 'checksum': 'dc283b1ce81a5559a3cc0012e5f78c40'}]",https://img.pokemondb.net/artwork/pidgey.jpg
"[{'url': 'https://img.pokemondb.net/artwork/kakuna.jpg', 'path': 'kakuna.jpg', 'checksum': '3049afe2d5662761ac84c56543a5e43d'}]",https://img.pokemondb.net/artwork/kakuna.jpg
"[{'url': 'https://img.pokemondb.net/artwork/caterpie.jpg', 'path': 'caterpie.jpg', 'checksum': '7d4066fe337be46e2ac824fe44c9f507'}]",https://img.pokemondb.net/artwork/caterpie.jpg
"[{'url': 'https://img.pokemondb.net/artwork/butterfree.jpg', 'path': 'butterfree.jpg', 'checksum': 'b80039273ba1c6b9fc292b85f2461795'}]",https://img.pokemondb.net/artwork/butterfree.jpg
"[{'url': 'https://img.pokemondb.net/artwork/pidgeotto.jpg', 'path': 'pidgeotto.jpg', 'checksum': '7a6d74cb411094a093ee3da177f8b1a0'}]",https://img.pokemondb.net/artwork/pidgeotto.jpg
"[{'url': 'https://img.pokemondb.net/artwork/beedrill-mega.jpg', 'path': 'beedrill-mega.jpg', 'checksum': 'ebe820ed8f53abfeffb3b82661c7d813'}]",https://img.pokemondb.net/artwork/beedrill-mega.jpg
"[{'url': 'https://img.pokemondb.net/artwork/pidgeot.jpg', 'path': 'pidgeot.jpg', 'checksum': '561e47ad47d420cc9ea0047214ae9a49'}]",https://img.pokemondb.net/artwork/pidgeot.jpg
"[{'url': 'https://img.pokemondb.net/artwork/wartortle.jpg', 'path': 'wartortle.jpg', 'checksum': '9068761ac2276addf7cb913e8146ec59'}]",https://img.pokemondb.net/artwork/wartortle.jpg
"[{'url': 'https://img.pokemondb.net/artwork/metapod.jpg', 'path': 'metapod.jpg', 'checksum': 'fc00c10a6caf058fbf3ee999b4bb040a'}]",https://img.pokemondb.net/artwork/metapod.jpg
"[{'url': 'https://img.pokemondb.net/artwork/blastoise.jpg', 'path': 'blastoise.jpg', 'checksum': '14f50e5aaf11ce6f50c075f0406054e3'}]",https://img.pokemondb.net/artwork/blastoise.jpg
"[{'url': 'https://img.pokemondb.net/artwork/squirtle.jpg', 'path': 'squirtle.jpg', 'checksum': 'c8f213083c19bf2f10d64b7b97bea5f9'}]",https://img.pokemondb.net/artwork/squirtle.jpg
"[{'url': 'https://img.pokemondb.net/artwork/blastoise-mega.jpg', 'path': 'blastoise-mega.jpg', 'checksum': '741364d645c6680b4fe79669bc81d79a'}]",https://img.pokemondb.net/artwork/blastoise-mega.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charizard.jpg', 'path': 'charizard.jpg', 'checksum': '53fb3641faf91d2a9b344d34b13b6abe'}]",https://img.pokemondb.net/artwork/charizard.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charmander.jpg', 'path': 'charmander.jpg', 'checksum': '862bbe264c5ff6124ac80397c365a458'}]",https://img.pokemondb.net/artwork/charmander.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charizard-mega-x.jpg', 'path': 'charizard-mega-x.jpg', 'checksum': 'ff0230f7444462957a0625c6ea8474a6'}]",https://img.pokemondb.net/artwork/charizard-mega-x.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charizard-mega-y.jpg', 'path': 'charizard-mega-y.jpg', 'checksum': 'ff72e9a334e489ad4c4eb072f9724a39'}]",https://img.pokemondb.net/artwork/charizard-mega-y.jpg
"[{'url': 'https://img.pokemondb.net/artwork/necrozma.jpg', 'path': 'necrozma.jpg', 'checksum': 'c9d962c8cf67f08f68c66e4c4694dbb9'}]",https://img.pokemondb.net/artwork/necrozma.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charmeleon.jpg', 'path': 'charmeleon.jpg', 'checksum': '2586757dcb5778a1b250f41fd7d112ec'}]",https://img.pokemondb.net/artwork/charmeleon.jpg
"[{'url': 'https://img.pokemondb.net/artwork/magearna.jpg', 'path': 'magearna.jpg', 'checksum': 'e381acb5b930263c79374c6781211730'}]",https://img.pokemondb.net/artwork/magearna.jpg
"[{'url': 'https://img.pokemondb.net/artwork/kartana.jpg', 'path': 'kartana.jpg', 'checksum': '8f685ad0235e88eb66382b5dfd937371'}]",https://img.pokemondb.net/artwork/kartana.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charmeleon.jpg', 'path': 'charmeleon.jpg', 'checksum': '2586757dcb5778a1b250f41fd7d112ec'}]",https://img.pokemondb.net/artwork/charmeleon.jpg
"[{'url': 'https://img.pokemondb.net/artwork/celesteela.jpg', 'path': 'celesteela.jpg', 'checksum': '36070981a6d0a83d192991952a231122'}]",https://img.pokemondb.net/artwork/celesteela.jpg
"[{'url': 'https://img.pokemondb.net/artwork/guzzlord.jpg', 'path': 'guzzlord.jpg', 'checksum': '7ff54bacb688c5f43411df398eed5f24'}]",https://img.pokemondb.net/artwork/guzzlord.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charmeleon.jpg', 'path': 'charmeleon.jpg', 'checksum': '2586757dcb5778a1b250f41fd7d112ec'}]",https://img.pokemondb.net/artwork/charmeleon.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charmeleon.jpg', 'path': 'charmeleon.jpg', 'checksum': '2586757dcb5778a1b250f41fd7d112ec'}]",https://img.pokemondb.net/artwork/charmeleon.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charmeleon.jpg', 'path': 'charmeleon.jpg', 'checksum': '2586757dcb5778a1b250f41fd7d112ec'}]",https://img.pokemondb.net/artwork/charmeleon.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charmeleon.jpg', 'path': 'charmeleon.jpg', 'checksum': '2586757dcb5778a1b250f41fd7d112ec'}]",https://img.pokemondb.net/artwork/charmeleon.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charmeleon.jpg', 'path': 'charmeleon.jpg', 'checksum': '2586757dcb5778a1b250f41fd7d112ec'}]",https://img.pokemondb.net/artwork/charmeleon.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charmeleon.jpg', 'path': 'charmeleon.jpg', 'checksum': '2586757dcb5778a1b250f41fd7d112ec'}]",https://img.pokemondb.net/artwork/charmeleon.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charmander.jpg', 'path': 'charmander.jpg', 'checksum': '862bbe264c5ff6124ac80397c365a458'}]",https://img.pokemondb.net/artwork/charmander.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charmander.jpg', 'path': 'charmander.jpg', 'checksum': '862bbe264c5ff6124ac80397c365a458'}]",https://img.pokemondb.net/artwork/charmander.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charmander.jpg', 'path': 'charmander.jpg', 'checksum': '862bbe264c5ff6124ac80397c365a458'}]",https://img.pokemondb.net/artwork/charmander.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charmander.jpg', 'path': 'charmander.jpg', 'checksum': '862bbe264c5ff6124ac80397c365a458'}]",https://img.pokemondb.net/artwork/charmander.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charmander.jpg', 'path': 'charmander.jpg', 'checksum': '862bbe264c5ff6124ac80397c365a458'}]",https://img.pokemondb.net/artwork/charmander.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charmander.jpg', 'path': 'charmander.jpg', 'checksum': '862bbe264c5ff6124ac80397c365a458'}]",https://img.pokemondb.net/artwork/charmander.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charmander.jpg', 'path': 'charmander.jpg', 'checksum': '862bbe264c5ff6124ac80397c365a458'}]",https://img.pokemondb.net/artwork/charmander.jpg
"[{'url': 'https://img.pokemondb.net/artwork/squirtle.jpg', 'path': 'squirtle.jpg', 'checksum': 'c8f213083c19bf2f10d64b7b97bea5f9'}]",https://img.pokemondb.net/artwork/squirtle.jpg
"[{'url': 'https://img.pokemondb.net/artwork/squirtle.jpg', 'path': 'squirtle.jpg', 'checksum': 'c8f213083c19bf2f10d64b7b97bea5f9'}]",https://img.pokemondb.net/artwork/squirtle.jpg
"[{'url': 'https://img.pokemondb.net/artwork/squirtle.jpg', 'path': 'squirtle.jpg', 'checksum': 'c8f213083c19bf2f10d64b7b97bea5f9'}]",https://img.pokemondb.net/artwork/squirtle.jpg
"[{'url': 'https://img.pokemondb.net/artwork/squirtle.jpg', 'path': 'squirtle.jpg', 'checksum': 'c8f213083c19bf2f10d64b7b97bea5f9'}]",https://img.pokemondb.net/artwork/squirtle.jpg
"[{'url': 'https://img.pokemondb.net/artwork/squirtle.jpg', 'path': 'squirtle.jpg', 'checksum': 'c8f213083c19bf2f10d64b7b97bea5f9'}]",https://img.pokemondb.net/artwork/squirtle.jpg
"[{'url': 'https://img.pokemondb.net/artwork/squirtle.jpg', 'path': 'squirtle.jpg', 'checksum': 'c8f213083c19bf2f10d64b7b97bea5f9'}]",https://img.pokemondb.net/artwork/squirtle.jpg
"[{'url': 'https://img.pokemondb.net/artwork/squirtle.jpg', 'path': 'squirtle.jpg', 'checksum': 'c8f213083c19bf2f10d64b7b97bea5f9'}]",https://img.pokemondb.net/artwork/squirtle.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charizard.jpg', 'path': 'charizard.jpg', 'checksum': '53fb3641faf91d2a9b344d34b13b6abe'}]",https://img.pokemondb.net/artwork/charizard.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charizard.jpg', 'path': 'charizard.jpg', 'checksum': '53fb3641faf91d2a9b344d34b13b6abe'}]",https://img.pokemondb.net/artwork/charizard.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charizard.jpg', 'path': 'charizard.jpg', 'checksum': '53fb3641faf91d2a9b344d34b13b6abe'}]",https://img.pokemondb.net/artwork/charizard.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charizard.jpg', 'path': 'charizard.jpg', 'checksum': '53fb3641faf91d2a9b344d34b13b6abe'}]",https://img.pokemondb.net/artwork/charizard.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charizard.jpg', 'path': 'charizard.jpg', 'checksum': '53fb3641faf91d2a9b344d34b13b6abe'}]",https://img.pokemondb.net/artwork/charizard.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charizard.jpg', 'path': 'charizard.jpg', 'checksum': '53fb3641faf91d2a9b344d34b13b6abe'}]",https://img.pokemondb.net/artwork/charizard.jpg
"[{'url': 'https://img.pokemondb.net/artwork/charizard.jpg', 'path': 'charizard.jpg', 'checksum': '53fb3641faf91d2a9b344d34b13b6abe'}]",https://img.pokemondb.net/artwork/charizard.jpg
"[{'url': 'https://img.pokemondb.net/artwork/wartortle.jpg', 'path': 'wartortle.jpg', 'checksum': '9068761ac2276addf7cb913e8146ec59'}]",https://img.pokemondb.net/artwork/wartortle.jpg
"[{'url': 'https://img.pokemondb.net/artwork/wartortle.jpg', 'path': 'wartortle.jpg', 'checksum': '9068761ac2276addf7cb913e8146ec59'}]",https://img.pokemondb.net/artwork/wartortle.jpg
"[{'url': 'https://img.pokemondb.net/artwork/wartortle.jpg', 'path': 'wartortle.jpg', 'checksum': '9068761ac2276addf7cb913e8146ec59'}]",https://img.pokemondb.net/artwork/wartortle.jpg
"[{'url': 'https://img.pokemondb.net/artwork/wartortle.jpg', 'path': 'wartortle.jpg', 'checksum': '9068761ac2276addf7cb913e8146ec59'}]",https://img.pokemondb.net/artwork/wartortle.jpg
"[{'url': 'https://img.pokemondb.net/artwork/blastoise.jpg', 'path': 'blastoise.jpg', 'checksum': '14f50e5aaf11ce6f50c075f0406054e3'}]",https://img.pokemondb.net/artwork/blastoise.jpg
"[{'url': 'https://img.pokemondb.net/artwork/wartortle.jpg', 'path': 'wartortle.jpg', 'checksum': '9068761ac2276addf7cb913e8146ec59'}]",https://img.pokemondb.net/artwork/wartortle.jpg
"[{'url': 'https://img.pokemondb.net/artwork/wartortle.jpg', 'path': 'wartortle.jpg', 'checksum': '9068761ac2276addf7cb913e8146ec59'}]",https://img.pokemondb.net/artwork/wartortle.jpg
"[{'url': 'https://img.pokemondb.net/artwork/wartortle.jpg', 'path': 'wartortle.jpg', 'checksum': '9068761ac2276addf7cb913e8146ec59'}]",https://img.pokemondb.net/artwork/wartortle.jpg
"[{'url': 'https://img.pokemondb.net/artwork/blastoise.jpg', 'path': 'blastoise.jpg', 'checksum': '14f50e5aaf11ce6f50c075f0406054e3'}]",https://img.pokemondb.net/artwork/blastoise.jpg
"[{'url': 'https://img.pokemondb.net/artwork/blastoise.jpg', 'path': 'blastoise.jpg', 'checksum': '14f50e5aaf11ce6f50c075f0406054e3'}]",https://img.pokemondb.net/artwork/blastoise.jpg
"[{'url': 'https://img.pokemondb.net/artwork/blastoise.jpg', 'path': 'blastoise.jpg', 'checksum': '14f50e5aaf11ce6f50c075f0406054e3'}]",https://img.pokemondb.net/artwork/blastoise.jpg
"[{'url': 'https://img.pokemondb.net/artwork/metapod.jpg', 'path': 'metapod.jpg', 'checksum': 'fc00c10a6caf058fbf3ee999b4bb040a'}]",https://img.pokemondb.net/artwork/metapod.jpg
"[{'url': 'https://img.pokemondb.net/artwork/metapod.jpg', 'path': 'metapod.jpg', 'checksum': 'fc00c10a6caf058fbf3ee999b4bb040a'}]",https://img.pokemondb.net/artwork/metapod.jpg
"[{'url': 'https://img.pokemondb.net/artwork/metapod.jpg', 'path': 'metapod.jpg', 'checksum': 'fc00c10a6caf058fbf3ee999b4bb040a'}]",https://img.pokemondb.net/artwork/metapod.jpg
"[{'url': 'https://img.pokemondb.net/artwork/metapod.jpg', 'path': 'metapod.jpg', 'checksum': 'fc00c10a6caf058fbf3ee999b4bb040a'}]",https://img.pokemondb.net/artwork/metapod.jpg
"[{'url': 'https://img.pokemondb.net/artwork/blastoise.jpg', 'path': 'blastoise.jpg', 'checksum': '14f50e5aaf11ce6f50c075f0406054e3'}]",https://img.pokemondb.net/artwork/blastoise.jpg
